referrer,views_total,views_unique
gitblit.com,50,15
github.com,29,19
Google,27,21
Baidu,10,6
Bing,8,6
doubao.com,5,2
search.brave.com,4,1
DuckDuckGo,3,1
yuanbao.tencent.com,3,1
gitee.com,2,1
