url_path,views_total,views_unique
/gitblit-org/gitblit,286,182
/gitblit-org/gitblit/issues,96,44
/gitblit-org/gitblit/releases,87,50
/gitblit-org/gitblit/tree/master/src,87,26
/gitblit-org/gitblit/issues/461,79,70
/gitblit-org/gitblit/tree/master/src/main,65,20
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,44,12
/gitblit-org/gitblit/tree/master/src/main/java,41,15
/gitblit-org/gitblit/releases/tag/v1.9.3,39,33
/gitblit-org/gitblit/blob/master/src/main/java/com/gitblit/GitBlitServer.java,30,2
