time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-12 00:00:00+00:00,6.0,6.0,42,38
2024-11-13 00:00:00+00:00,2.0,1.0,92,43
2024-11-14 00:00:00+00:00,3.0,1.0,56,37
2024-11-15 00:00:00+00:00,5.0,5.0,109,31
2024-11-16 00:00:00+00:00,3.0,2.0,17,14
2024-11-17 00:00:00+00:00,1.0,1.0,25,13
2024-11-18 00:00:00+00:00,,,82,40
2024-11-19 00:00:00+00:00,,,65,28
2024-11-20 00:00:00+00:00,2.0,2.0,110,30
2024-11-21 00:00:00+00:00,4.0,4.0,102,39
2024-11-22 00:00:00+00:00,,,82,34
2024-11-23 00:00:00+00:00,1.0,1.0,71,12
2024-11-24 00:00:00+00:00,4.0,4.0,36,10
2024-11-25 00:00:00+00:00,1.0,1.0,201,39
2024-11-26 00:00:00+00:00,,,1,1
