url_path,views_total,views_unique
/gitblit-org/gitblit,233,172
/gitblit-org/gitblit/issues/461,62,56
/gitblit-org/gitblit/tree/master/src,62,20
/gitblit-org/gitblit/pull/1411/commits/9b4afad6f4be212474809533ec2c280cce86501a,61,26
/gitblit-org/gitblit/issues,53,27
/gitblit-org/gitblit/releases,43,35
/gitblit-org/gitblit/tree/master/src/main,43,14
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,32,7
/gitblit-org/gitblit/tree/master/src/main/java,28,10
/gitblit-org/gitblit/releases/tag/v1.9.3,26,19
