time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-23 00:00:00+00:00,2,2,657,43
2023-10-24 00:00:00+00:00,12,4,249,62
2023-10-25 00:00:00+00:00,6,6,168,44
2023-10-26 00:00:00+00:00,3,3,153,52
2023-10-27 00:00:00+00:00,6,6,144,44
2023-10-28 00:00:00+00:00,11,8,40,17
2023-10-29 00:00:00+00:00,5,5,32,11
2023-10-30 00:00:00+00:00,6,6,324,59
2023-10-31 00:00:00+00:00,26,9,229,64
2023-11-01 00:00:00+00:00,7,6,253,49
2023-11-02 00:00:00+00:00,5,4,126,47
2023-11-03 00:00:00+00:00,1,1,113,51
2023-11-04 00:00:00+00:00,14,9,106,22
2023-11-05 00:00:00+00:00,4,3,65,15
