url_path,views_total,views_unique
/gitblit-org/gitblit,228,169
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit/auth,196,20
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,158,30
/gitblit-org/gitblit/tree/master/src/main/java,153,38
/gitblit-org/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,130,19
/gitblit-org/gitblit/tree/master/src,115,37
/gitblit-org/gitblit/tree/master/src/main,102,33
/gitblit-org/gitblit/blob/master/src/main/java/com/gitblit/auth/HtpasswdAuthProvider.java,84,17
/gitblit-org/gitblit/pull/1411/commits/9b4afad6f4be212474809533ec2c280cce86501a,81,17
/gitblit-org/gitblit/releases,78,51
