referrer,views_total,views_unique
Google,276,191
gitblit.com,144,40
github.com,127,31
DuckDuckGo,29,19
yandex.ru,19,17
Bing,13,10
cn.bing.com,11,9
avd.aliyun.com,7,1
search.brave.com,4,4
Baidu,4,3
