referrer,views_total,views_unique
gitblit.com,59,24
Google,50,34
github.com,22,9
Bing,8,6
Baidu,7,6
chatgpt.com,4,3
superstart.se,2,1
ecosia.org,1,1
kagi.com,1,1
ntp.msn.cn,1,1
