referrer,views_total,views_unique
Google,435,198
gitblit.com,341,62
github.com,117,26
cn.bing.com,43,19
Bing,22,14
yandex.ru,11,7
DuckDuckGo,9,4
stackoverflow.com,4,4
Baidu,4,4
gitee.com,4,3
