referrer,views_total,views_unique
Google,181,76
gitblit.com,168,37
github.com,23,11
Baidu,16,4
yandex.ru,13,6
chatgpt.com,11,5
Bing,8,7
yr7ywq.smartapps.baidu.com,6,2
cn.bing.com,3,2
ya.ru,2,2
