url_path,views_total,views_unique
/gitblit-org/gitblit,210,143
/gitblit-org/gitblit/releases,66,47
/gitblit-org/gitblit/tree/master/src,61,22
/gitblit-org/gitblit/tree/master/src/main,57,16
/gitblit-org/gitblit/issues,52,16
/gitblit-org/gitblit/tree/master/src/main/java,38,11
/gitblit-org/gitblit/issues/461,34,27
/gitblit-org/gitblit/blob/8d24e989eb0e3f79cabd63b92f8feb91da8bf818/src/main/java/com/gitblit/manager/RepositoryManager.java,28,3
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,18,5
/gitblit-org/gitblit/releases/tag/v1.9.3,17,11
