time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-20 00:00:00+00:00,7,6,242,43
2023-11-21 00:00:00+00:00,4,4,164,69
2023-11-22 00:00:00+00:00,5,5,107,39
2023-11-23 00:00:00+00:00,13,8,146,47
2023-11-24 00:00:00+00:00,8,8,192,29
2023-11-25 00:00:00+00:00,9,5,101,22
2023-11-26 00:00:00+00:00,3,3,41,11
2023-11-27 00:00:00+00:00,2,2,129,37
2023-11-28 00:00:00+00:00,7,5,129,52
2023-11-29 00:00:00+00:00,10,9,109,41
2023-11-30 00:00:00+00:00,4,4,137,49
2023-12-01 00:00:00+00:00,4,3,116,50
2023-12-02 00:00:00+00:00,6,3,39,17
2023-12-03 00:00:00+00:00,1,1,80,25
