time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1.0,1.0,82,32
2024-08-29 00:00:00+00:00,1.0,1.0,90,26
2024-08-30 00:00:00+00:00,2.0,2.0,62,37
2024-08-31 00:00:00+00:00,2.0,2.0,35,9
2024-09-01 00:00:00+00:00,,,38,6
2024-09-02 00:00:00+00:00,2.0,2.0,90,27
2024-09-03 00:00:00+00:00,,,102,40
2024-09-04 00:00:00+00:00,1.0,1.0,132,49
2024-09-05 00:00:00+00:00,3.0,2.0,126,39
2024-09-06 00:00:00+00:00,1.0,1.0,49,30
2024-09-07 00:00:00+00:00,1.0,1.0,36,9
2024-09-08 00:00:00+00:00,1.0,1.0,44,16
2024-09-09 00:00:00+00:00,,,68,34
2024-09-10 00:00:00+00:00,11.0,4.0,92,34
