time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-23 00:00:00+00:00,14,8,43,31
2024-05-24 00:00:00+00:00,10,4,110,30
2024-05-25 00:00:00+00:00,15,6,67,15
2024-05-26 00:00:00+00:00,7,2,79,26
2024-05-27 00:00:00+00:00,7,5,118,37
2024-05-28 00:00:00+00:00,10,4,188,49
2024-05-29 00:00:00+00:00,10,5,93,43
2024-05-30 00:00:00+00:00,7,2,124,37
2024-05-31 00:00:00+00:00,11,8,167,33
2024-06-01 00:00:00+00:00,10,4,33,14
2024-06-02 00:00:00+00:00,3,1,97,16
2024-06-03 00:00:00+00:00,5,3,154,50
2024-06-04 00:00:00+00:00,6,4,115,47
2024-06-05 00:00:00+00:00,9,5,127,59
