time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,6089,17,34,27
2025-12-18 00:00:00+00:00,36,12,50,28
2025-12-19 00:00:00+00:00,3142,10,34,26
2025-12-20 00:00:00+00:00,41,16,17,15
2025-12-21 00:00:00+00:00,55,9,15,15
2025-12-22 00:00:00+00:00,4511,22,116,34
2025-12-23 00:00:00+00:00,3144,12,62,14
2025-12-24 00:00:00+00:00,11766,16,54,24
2025-12-25 00:00:00+00:00,3165,19,49,25
2025-12-26 00:00:00+00:00,6325,27,14,13
2025-12-27 00:00:00+00:00,3157,15,13,11
2025-12-28 00:00:00+00:00,3181,13,38,9
2025-12-29 00:00:00+00:00,3155,16,39,25
2025-12-30 00:00:00+00:00,52,22,85,21
