time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-01 00:00:00+00:00,3145,14,9,7
2026-01-02 00:00:00+00:00,3119,9,18,17
2026-01-03 00:00:00+00:00,6271,16,19,14
2026-01-04 00:00:00+00:00,40,14,51,28
2026-01-05 00:00:00+00:00,50,18,22,21
2026-01-06 00:00:00+00:00,5541,19,31,18
2026-01-07 00:00:00+00:00,3291,25,86,21
2026-01-08 00:00:00+00:00,3058,40,61,28
2026-01-09 00:00:00+00:00,6279,25,51,28
2026-01-10 00:00:00+00:00,6293,16,20,18
2026-01-11 00:00:00+00:00,39,10,39,14
2026-01-12 00:00:00+00:00,3268,27,53,29
2026-01-13 00:00:00+00:00,3157,17,81,27
2026-01-14 00:00:00+00:00,2432,20,37,27
