referrer,views_total,views_unique
Google,383,223
gitblit-org.github.io,271,54
github.com,268,64
DuckDuckGo,89,75
Bing,37,29
yandex.ru,22,19
cn.bing.com,20,13
link.csdn.net,11,9
gitblit.com,10,7
stackoverflow.com,8,6
