referrer,views_total,views_unique
gitblit.com,467,91
Google,413,251
github.com,160,42
DuckDuckGo,44,39
Bing,37,25
cn.bing.com,36,18
groups.google.com,16,2
Yahoo,12,1
Baidu,11,5
yandex.ru,7,7
