time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-11 00:00:00+00:00,39,10,39,14
2026-01-12 00:00:00+00:00,3268,27,53,29
2026-01-13 00:00:00+00:00,3157,17,81,27
2026-01-14 00:00:00+00:00,2432,20,37,27
2026-01-15 00:00:00+00:00,5471,20,38,20
2026-01-16 00:00:00+00:00,5883,14,36,18
2026-01-17 00:00:00+00:00,3157,16,45,15
2026-01-18 00:00:00+00:00,6376,19,47,32
2026-01-19 00:00:00+00:00,27,10,64,36
2026-01-20 00:00:00+00:00,38,10,61,31
2026-01-21 00:00:00+00:00,3167,21,75,33
2026-01-22 00:00:00+00:00,52,17,44,25
2026-01-23 00:00:00+00:00,3170,18,37,25
2026-01-24 00:00:00+00:00,4813,20,25,21
