time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-09 00:00:00+00:00,,,113,43
2024-10-10 00:00:00+00:00,3.0,3.0,55,36
2024-10-11 00:00:00+00:00,,,67,31
2024-10-12 00:00:00+00:00,3.0,3.0,63,19
2024-10-13 00:00:00+00:00,,,20,14
2024-10-14 00:00:00+00:00,2.0,2.0,149,49
2024-10-15 00:00:00+00:00,3.0,2.0,67,34
2024-10-16 00:00:00+00:00,2.0,2.0,89,25
2024-10-17 00:00:00+00:00,1.0,1.0,110,48
2024-10-18 00:00:00+00:00,1.0,1.0,95,28
2024-10-19 00:00:00+00:00,5.0,4.0,9,8
2024-10-20 00:00:00+00:00,1.0,1.0,13,7
2024-10-21 00:00:00+00:00,1.0,1.0,78,35
2024-10-22 00:00:00+00:00,1.0,1.0,73,30
2024-10-23 00:00:00+00:00,,,1,1
