referrer,views_total,views_unique
Google,319,207
gitblit.com,197,53
github.com,68,27
yandex.ru,19,17
DuckDuckGo,18,15
cn.bing.com,11,9
Bing,11,9
Baidu,7,6
avd.aliyun.com,7,1
gitee.com,6,3
