time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-27 00:00:00+00:00,2.0,1.0,125,53
2023-03-28 00:00:00+00:00,1.0,1.0,229,74
2023-03-29 00:00:00+00:00,2.0,2.0,136,52
2023-03-30 00:00:00+00:00,4.0,4.0,160,47
2023-03-31 00:00:00+00:00,9.0,3.0,171,36
2023-04-01 00:00:00+00:00,18.0,14.0,45,17
2023-04-02 00:00:00+00:00,66.0,38.0,27,17
2023-04-03 00:00:00+00:00,74.0,39.0,189,56
2023-04-04 00:00:00+00:00,20.0,17.0,191,58
2023-04-05 00:00:00+00:00,3.0,3.0,124,60
2023-04-06 00:00:00+00:00,12.0,8.0,119,51
2023-04-07 00:00:00+00:00,8.0,6.0,84,38
2023-04-08 00:00:00+00:00,11.0,5.0,126,18
2023-04-09 00:00:00+00:00,3.0,2.0,78,22
2023-04-10 00:00:00+00:00,,,10,6
