time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-01 00:00:00+00:00,1.0,1.0,60,15
2023-10-02 00:00:00+00:00,5.0,4.0,66,34
2023-10-03 00:00:00+00:00,8.0,6.0,114,61
2023-10-04 00:00:00+00:00,8.0,6.0,83,30
2023-10-05 00:00:00+00:00,3.0,3.0,62,35
2023-10-06 00:00:00+00:00,1.0,1.0,114,47
2023-10-07 00:00:00+00:00,6.0,3.0,278,32
2023-10-08 00:00:00+00:00,3.0,3.0,67,24
2023-10-09 00:00:00+00:00,10.0,6.0,194,52
2023-10-10 00:00:00+00:00,10.0,9.0,148,52
2023-10-11 00:00:00+00:00,2.0,2.0,167,61
2023-10-12 00:00:00+00:00,16.0,7.0,204,64
2023-10-13 00:00:00+00:00,13.0,7.0,118,39
2023-10-14 00:00:00+00:00,10.0,6.0,50,16
2023-10-15 00:00:00+00:00,,,24,2
