time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-02 00:00:00+00:00,30.0,25.0,75,34
2023-05-03 00:00:00+00:00,67.0,39.0,98,39
2023-05-04 00:00:00+00:00,64.0,39.0,93,41
2023-05-05 00:00:00+00:00,18.0,12.0,83,45
2023-05-06 00:00:00+00:00,54.0,31.0,145,29
2023-05-07 00:00:00+00:00,64.0,39.0,76,14
2023-05-08 00:00:00+00:00,22.0,21.0,107,50
2023-05-09 00:00:00+00:00,5.0,5.0,134,47
2023-05-10 00:00:00+00:00,3.0,2.0,128,49
2023-05-11 00:00:00+00:00,4.0,3.0,140,51
2023-05-12 00:00:00+00:00,3.0,3.0,91,54
2023-05-13 00:00:00+00:00,6.0,3.0,160,24
2023-05-14 00:00:00+00:00,35.0,22.0,40,14
2023-05-15 00:00:00+00:00,63.0,44.0,118,66
2023-05-16 00:00:00+00:00,,,32,3
