time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-16 00:00:00+00:00,11,10,275,52
2023-10-17 00:00:00+00:00,3,3,292,67
2023-10-18 00:00:00+00:00,6,6,306,67
2023-10-19 00:00:00+00:00,6,6,415,57
2023-10-20 00:00:00+00:00,3,3,396,35
2023-10-21 00:00:00+00:00,6,3,73,19
2023-10-22 00:00:00+00:00,6,6,341,17
2023-10-23 00:00:00+00:00,2,2,746,50
2023-10-24 00:00:00+00:00,12,4,249,62
2023-10-25 00:00:00+00:00,6,6,168,44
2023-10-26 00:00:00+00:00,3,3,153,52
2023-10-27 00:00:00+00:00,6,6,144,44
2023-10-28 00:00:00+00:00,11,8,40,17
2023-10-29 00:00:00+00:00,5,5,32,11
