referrer,views_total,views_unique
gitblit.com,69,23
Google,51,38
Bing,37,15
github.com,33,17
chatgpt.com,11,6
yuque.com,8,1
Baidu,6,5
cve.org,4,1
search.brave.com,3,2
Yahoo,3,1
