time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-08 00:00:00+00:00,56.0,40.0,179,47
2023-06-09 00:00:00+00:00,62.0,45.0,175,59
2023-06-10 00:00:00+00:00,26.0,19.0,55,23
2023-06-11 00:00:00+00:00,5.0,4.0,18,13
2023-06-12 00:00:00+00:00,1.0,1.0,105,60
2023-06-13 00:00:00+00:00,3.0,3.0,132,52
2023-06-14 00:00:00+00:00,6.0,5.0,120,63
2023-06-15 00:00:00+00:00,3.0,3.0,123,55
2023-06-16 00:00:00+00:00,1.0,1.0,101,46
2023-06-17 00:00:00+00:00,6.0,3.0,111,17
2023-06-18 00:00:00+00:00,4.0,3.0,19,12
2023-06-19 00:00:00+00:00,,,148,51
2023-06-20 00:00:00+00:00,3.0,3.0,129,57
2023-06-21 00:00:00+00:00,5.0,4.0,89,47
