referrer,views_total,views_unique
gitblit.com,394,54
Google,174,115
github.com,88,20
search.brave.com,16,2
Bing,15,8
cn.bing.com,13,10
yandex.ru,10,5
Baidu,7,7
cnblogs.com,6,4
sourceforge.net,4,1
