time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,12.0,7.0,87,28
2025-05-29 00:00:00+00:00,4.0,2.0,30,22
2025-05-30 00:00:00+00:00,,,54,23
2025-05-31 00:00:00+00:00,6.0,4.0,37,6
2025-06-01 00:00:00+00:00,5.0,3.0,12,7
2025-06-02 00:00:00+00:00,7.0,4.0,49,21
2025-06-03 00:00:00+00:00,4.0,2.0,42,25
2025-06-04 00:00:00+00:00,1.0,1.0,60,25
2025-06-05 00:00:00+00:00,12.0,7.0,83,25
2025-06-06 00:00:00+00:00,7.0,4.0,37,16
2025-06-07 00:00:00+00:00,8.0,2.0,31,12
2025-06-08 00:00:00+00:00,3.0,1.0,19,6
2025-06-09 00:00:00+00:00,6.0,3.0,45,21
2025-06-10 00:00:00+00:00,1.0,1.0,79,25
