referrer,views_total,views_unique
Google,164,54
gitblit.com,143,41
github.com,41,14
Baidu,36,13
cn.bing.com,8,2
Bing,6,4
stackoverflow.com,4,3
chatgpt.com,4,2
search.brave.com,2,2
DuckDuckGo,2,1
