time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-13 00:00:00+00:00,3,3,118,49
2024-03-14 00:00:00+00:00,4,4,90,45
2024-03-15 00:00:00+00:00,5,4,149,44
2024-03-16 00:00:00+00:00,8,5,63,15
2024-03-17 00:00:00+00:00,4,4,18,14
2024-03-18 00:00:00+00:00,2,2,129,54
2024-03-19 00:00:00+00:00,4,4,62,42
2024-03-20 00:00:00+00:00,2,2,169,55
2024-03-21 00:00:00+00:00,9,8,123,64
2024-03-22 00:00:00+00:00,4,4,243,57
2024-03-23 00:00:00+00:00,6,3,43,25
2024-03-24 00:00:00+00:00,3,3,22,14
2024-03-25 00:00:00+00:00,5,5,81,31
2024-03-26 00:00:00+00:00,21,5,259,66
