url_path,views_total,views_unique
/gitblit-org/gitblit,286,179
/gitblit-org/gitblit/tree/master/src,100,30
/gitblit-org/gitblit/releases,85,49
/gitblit-org/gitblit/issues,85,37
/gitblit-org/gitblit/tree/master/src/main,76,24
/gitblit-org/gitblit/issues/461,72,65
/gitblit-org/gitblit/tree/master/src/main/java/com/gitblit,57,17
/gitblit-org/gitblit/tree/master/src/main/java,46,17
/gitblit-org/gitblit/releases/tag/v1.9.3,40,34
/gitblit-org/gitblit/blob/master/src/main/java/com/gitblit/GitBlitServer.java,32,3
