url_path,views_total,views_unique
/gitblit-org/gitblit,147,94
/gitblit-org/gitblit/releases,52,41
/gitblit-org/gitblit/releases/tag/v1.10.0,16,14
/gitblit-org/gitblit/discussions,11,5
/gitblit-org/gitblit/blob/master/releases.moxie,10,10
/gitblit-org/gitblit/issues,8,6
/gitblit-org/gitblit/issues/1151,5,4
/gitblit-org/gitblit/blob/569d430f299b51b203bce88bc4c8e866a8bd009b/src/main/java/com/gitblit/utils/RpcUtils.java,5,1
/gitblit-org/gitblit/issues/1436,4,4
/gitblit-org/gitblit/tree/master/src,4,4
