referrer,views_total,views_unique
Google,353,227
gitblit.com,226,70
github.com,74,30
DuckDuckGo,21,18
Baidu,17,10
cn.bing.com,16,12
yandex.ru,15,15
Bing,12,10
gitee.com,7,3
avd.aliyun.com,7,1
