time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,5,4,96,31
2024-04-18 00:00:00+00:00,4,4,176,50
2024-04-19 00:00:00+00:00,3,3,106,36
2024-04-20 00:00:00+00:00,7,4,108,13
2024-04-21 00:00:00+00:00,5,3,28,19
2024-04-22 00:00:00+00:00,4,3,177,43
2024-04-23 00:00:00+00:00,2,2,43,30
2024-04-24 00:00:00+00:00,3,3,113,35
2024-04-25 00:00:00+00:00,7,5,162,43
2024-04-26 00:00:00+00:00,2,2,115,42
2024-04-27 00:00:00+00:00,7,4,35,16
2024-04-28 00:00:00+00:00,3,3,82,23
2024-04-29 00:00:00+00:00,2,2,62,34
2024-04-30 00:00:00+00:00,5,4,126,41
