time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-25 00:00:00+00:00,1.0,1.0,9,4
2025-01-26 00:00:00+00:00,1.0,1.0,19,13
2025-01-27 00:00:00+00:00,3.0,2.0,35,19
2025-01-28 00:00:00+00:00,1.0,1.0,73,21
2025-01-29 00:00:00+00:00,,,55,21
2025-01-30 00:00:00+00:00,1.0,1.0,41,22
2025-01-31 00:00:00+00:00,5.0,3.0,44,24
2025-02-01 00:00:00+00:00,3.0,2.0,37,6
2025-02-02 00:00:00+00:00,3.0,2.0,34,17
2025-02-03 00:00:00+00:00,4.0,2.0,34,17
2025-02-04 00:00:00+00:00,4.0,2.0,22,21
2025-02-05 00:00:00+00:00,1.0,1.0,50,27
2025-02-06 00:00:00+00:00,7.0,4.0,46,26
2025-02-07 00:00:00+00:00,11.0,6.0,73,27
