time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,67,22,6,6
2026-02-08 00:00:00+00:00,3163,19,67,8
2026-02-09 00:00:00+00:00,37,13,42,17
2026-02-10 00:00:00+00:00,1667,25,37,29
2026-02-11 00:00:00+00:00,3196,29,46,20
2026-02-12 00:00:00+00:00,287,18,58,26
2026-02-13 00:00:00+00:00,53,17,17,10
2026-02-14 00:00:00+00:00,57,21,11,10
2026-02-15 00:00:00+00:00,3264,13,42,9
2026-02-16 00:00:00+00:00,194,18,19,5
2026-02-17 00:00:00+00:00,38,13,49,16
2026-02-18 00:00:00+00:00,3157,17,47,21
2026-02-19 00:00:00+00:00,45,17,28,10
2026-02-20 00:00:00+00:00,50,20,10,7
