time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-26 00:00:00+00:00,6,4,34,23
2025-03-27 00:00:00+00:00,4,4,54,24
2025-03-28 00:00:00+00:00,1,1,68,33
2025-03-29 00:00:00+00:00,5,3,38,19
2025-03-30 00:00:00+00:00,6,4,36,8
2025-03-31 00:00:00+00:00,2,2,38,23
2025-04-01 00:00:00+00:00,2,2,77,38
2025-04-02 00:00:00+00:00,2,2,60,31
2025-04-03 00:00:00+00:00,6,6,33,26
2025-04-04 00:00:00+00:00,13,9,45,29
2025-04-05 00:00:00+00:00,2,2,4,3
2025-04-06 00:00:00+00:00,8,4,26,8
2025-04-07 00:00:00+00:00,2,2,52,31
2025-04-08 00:00:00+00:00,4,4,70,35
