time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-25 00:00:00+00:00,12,12,154,31
2023-06-26 00:00:00+00:00,5,5,185,69
2023-06-27 00:00:00+00:00,18,14,108,57
2023-06-28 00:00:00+00:00,66,51,111,55
2023-06-29 00:00:00+00:00,71,47,234,63
2023-06-30 00:00:00+00:00,21,15,84,38
2023-07-01 00:00:00+00:00,6,5,70,17
2023-07-02 00:00:00+00:00,4,3,30,11
2023-07-03 00:00:00+00:00,61,35,132,48
2023-07-04 00:00:00+00:00,73,41,194,76
2023-07-05 00:00:00+00:00,157,82,118,58
2023-07-06 00:00:00+00:00,95,60,174,85
2023-07-07 00:00:00+00:00,69,46,302,82
2023-07-08 00:00:00+00:00,67,38,35,16
2023-07-09 00:00:00+00:00,3,3,1,1
