referrer,views_total,views_unique
Baidu,56,8
Google,37,35
gitblit.com,29,18
github.com,21,13
Bing,18,4
chatgpt.com,16,6
doubao.com,2,1
gerrit.evoluservices.com,2,1
yandex.ru,2,1
ccgroups.sharepoint.com,1,1
