referrer,views_total,views_unique
Google,234,132
gitblit.com,146,46
github.com,76,20
cn.bing.com,14,6
yandex.ru,13,12
Baidu,13,7
chatgpt.com,11,5
Bing,6,5
search.brave.com,6,1
DuckDuckGo,5,3
