url_path,views_total,views_unique
/gitblit/gitblit-docker,36,7
/gitblit/gitblit-docker/blob/master/Dockerfile,10,3
/gitblit/gitblit-docker/search,10,2
/gitblit/gitblit-docker/blob/master/docker-entrypoint.sh,5,1
/gitblit/gitblit-docker/tree/99f9a043ae91b720b266802582b866c26dc41b10,4,1
/gitblit/gitblit-docker/issues,3,1
/gitblit/gitblit-docker/blob/master/hub-readme.md,2,2
/gitblit/gitblit-docker/blob/a3e2a9dc83593052027bbc083f36a09537fa63af/Dockerfile,2,1
/gitblit/gitblit-docker/tree/99f9a043ae91b720b266802582b866c26dc41b10/generate,2,1
/gitblit/gitblit-docker/blob/99f9a043ae91b720b266802582b866c26dc41b10/docker-entrypoint.sh,1,1
