time_iso8601,forks_cumulative
2014-08-05 00:00:00+00:00,161
2014-08-08 00:00:00+00:00,163
2014-08-12 00:00:00+00:00,164
2014-08-13 00:00:00+00:00,166
2014-08-17 00:00:00+00:00,167
2014-08-20 00:00:00+00:00,168
2014-08-29 00:00:00+00:00,169
2014-08-30 00:00:00+00:00,170
2014-09-01 00:00:00+00:00,172
2014-09-04 00:00:00+00:00,173
2014-09-09 00:00:00+00:00,174
2014-09-26 00:00:00+00:00,175
2014-09-30 00:00:00+00:00,176
2014-10-24 00:00:00+00:00,177
2014-10-26 00:00:00+00:00,178
2014-10-29 00:00:00+00:00,179
2014-10-31 00:00:00+00:00,180
2014-11-11 00:00:00+00:00,181
2014-11-13 00:00:00+00:00,182
2014-11-14 00:00:00+00:00,183
2014-11-19 00:00:00+00:00,184
2014-11-26 00:00:00+00:00,185
2014-12-03 00:00:00+00:00,186
2014-12-04 00:00:00+00:00,187
2014-12-07 00:00:00+00:00,188
2014-12-11 00:00:00+00:00,189
2014-12-18 00:00:00+00:00,190
2014-12-21 00:00:00+00:00,191
2015-01-08 00:00:00+00:00,192
2015-01-24 00:00:00+00:00,193
2015-02-10 00:00:00+00:00,194
2015-02-27 00:00:00+00:00,195
2015-03-02 00:00:00+00:00,196
2015-03-06 00:00:00+00:00,197
2015-03-13 00:00:00+00:00,198
2015-03-23 00:00:00+00:00,199
2015-03-24 00:00:00+00:00,200
2015-04-06 00:00:00+00:00,201
2015-04-09 00:00:00+00:00,202
2015-04-10 00:00:00+00:00,203
2015-04-12 00:00:00+00:00,204
2015-04-13 00:00:00+00:00,205
2015-04-17 00:00:00+00:00,206
2015-04-24 00:00:00+00:00,207
2015-05-03 00:00:00+00:00,208
2015-05-08 00:00:00+00:00,210
2015-05-18 00:00:00+00:00,212
2015-05-23 00:00:00+00:00,213
2015-05-30 00:00:00+00:00,214
2015-05-31 00:00:00+00:00,215
2015-06-04 00:00:00+00:00,216
2015-06-13 00:00:00+00:00,217
2015-06-15 00:00:00+00:00,218
2015-06-16 00:00:00+00:00,219
2015-06-17 00:00:00+00:00,220
2015-06-21 00:00:00+00:00,221
2015-06-24 00:00:00+00:00,222
2015-06-28 00:00:00+00:00,223
2015-07-07 00:00:00+00:00,224
2015-07-08 00:00:00+00:00,225
2015-07-09 00:00:00+00:00,226
2015-07-20 00:00:00+00:00,227
2015-07-24 00:00:00+00:00,228
2015-07-27 00:00:00+00:00,229
2015-07-28 00:00:00+00:00,230
2015-08-03 00:00:00+00:00,232
2015-08-05 00:00:00+00:00,233
2015-08-18 00:00:00+00:00,234
2015-09-01 00:00:00+00:00,235
2015-09-16 00:00:00+00:00,237
2015-09-28 00:00:00+00:00,238
2015-10-06 00:00:00+00:00,239
2015-10-10 00:00:00+00:00,240
2015-10-12 00:00:00+00:00,241
2015-10-20 00:00:00+00:00,242
2015-10-21 00:00:00+00:00,243
2015-10-22 00:00:00+00:00,244
2015-10-31 00:00:00+00:00,245
2015-11-06 00:00:00+00:00,246
2015-11-08 00:00:00+00:00,248
2015-11-24 00:00:00+00:00,249
2015-12-02 00:00:00+00:00,251
2015-12-03 00:00:00+00:00,252
2015-12-04 00:00:00+00:00,253
2015-12-16 00:00:00+00:00,255
2015-12-23 00:00:00+00:00,256
2016-01-01 00:00:00+00:00,257
2016-01-06 00:00:00+00:00,258
2016-01-14 00:00:00+00:00,259
2016-01-17 00:00:00+00:00,261
2016-01-19 00:00:00+00:00,262
2016-01-20 00:00:00+00:00,263
2016-01-21 00:00:00+00:00,264
2016-01-23 00:00:00+00:00,265
2016-01-24 00:00:00+00:00,266
2016-01-27 00:00:00+00:00,267
2016-02-15 00:00:00+00:00,269
2016-02-23 00:00:00+00:00,270
2016-02-24 00:00:00+00:00,272
2016-02-29 00:00:00+00:00,273
2016-03-08 00:00:00+00:00,274
2016-03-16 00:00:00+00:00,275
2016-03-17 00:00:00+00:00,276
2016-03-24 00:00:00+00:00,278
2016-04-06 00:00:00+00:00,279
2016-04-07 00:00:00+00:00,280
2016-04-08 00:00:00+00:00,281
2016-04-14 00:00:00+00:00,282
2016-04-17 00:00:00+00:00,283
2016-04-18 00:00:00+00:00,284
2016-05-03 00:00:00+00:00,285
2016-05-05 00:00:00+00:00,286
2016-05-12 00:00:00+00:00,287
2016-05-13 00:00:00+00:00,289
2016-05-16 00:00:00+00:00,290
2016-05-21 00:00:00+00:00,291
2016-06-03 00:00:00+00:00,292
2016-06-11 00:00:00+00:00,293
2016-06-12 00:00:00+00:00,295
2016-06-17 00:00:00+00:00,296
2016-06-19 00:00:00+00:00,297
2016-06-20 00:00:00+00:00,299
2016-06-29 00:00:00+00:00,301
2016-06-30 00:00:00+00:00,302
2016-07-06 00:00:00+00:00,303
2016-07-11 00:00:00+00:00,304
2016-07-12 00:00:00+00:00,305
2016-07-29 00:00:00+00:00,306
2016-07-31 00:00:00+00:00,307
2016-08-14 00:00:00+00:00,308
2016-08-15 00:00:00+00:00,309
2016-08-21 00:00:00+00:00,310
2016-08-22 00:00:00+00:00,311
2016-08-24 00:00:00+00:00,312
2016-08-27 00:00:00+00:00,314
2016-08-29 00:00:00+00:00,315
2016-08-30 00:00:00+00:00,316
2016-09-05 00:00:00+00:00,317
2016-09-08 00:00:00+00:00,318
2016-09-17 00:00:00+00:00,319
2016-09-22 00:00:00+00:00,320
2016-09-23 00:00:00+00:00,321
2016-09-27 00:00:00+00:00,322
2016-10-05 00:00:00+00:00,323
2016-10-06 00:00:00+00:00,324
2016-10-08 00:00:00+00:00,325
2016-10-12 00:00:00+00:00,326
2016-10-17 00:00:00+00:00,327
2016-10-20 00:00:00+00:00,328
2016-10-23 00:00:00+00:00,329
2016-10-26 00:00:00+00:00,330
2016-10-27 00:00:00+00:00,331
2016-10-28 00:00:00+00:00,332
2016-11-01 00:00:00+00:00,333
2016-11-02 00:00:00+00:00,335
2016-11-15 00:00:00+00:00,336
2016-11-17 00:00:00+00:00,338
2016-11-18 00:00:00+00:00,339
2016-11-21 00:00:00+00:00,340
2016-11-23 00:00:00+00:00,341
2016-11-29 00:00:00+00:00,342
2016-12-01 00:00:00+00:00,344
2016-12-02 00:00:00+00:00,345
2016-12-05 00:00:00+00:00,346
2016-12-13 00:00:00+00:00,347
2016-12-21 00:00:00+00:00,348
2016-12-22 00:00:00+00:00,349
2017-01-04 00:00:00+00:00,350
2017-01-05 00:00:00+00:00,352
2017-01-06 00:00:00+00:00,353
2017-01-11 00:00:00+00:00,354
2017-01-13 00:00:00+00:00,356
2017-01-16 00:00:00+00:00,358
2017-01-25 00:00:00+00:00,360
2017-01-31 00:00:00+00:00,361
2017-02-03 00:00:00+00:00,362
2017-02-05 00:00:00+00:00,363
2017-02-15 00:00:00+00:00,364
2017-02-24 00:00:00+00:00,366
2017-02-28 00:00:00+00:00,367
2017-03-02 00:00:00+00:00,368
2017-03-03 00:00:00+00:00,369
2017-03-04 00:00:00+00:00,370
2017-03-13 00:00:00+00:00,371
2017-03-15 00:00:00+00:00,372
2017-03-22 00:00:00+00:00,373
2017-03-29 00:00:00+00:00,374
2017-04-02 00:00:00+00:00,375
2017-05-03 00:00:00+00:00,376
2017-05-17 00:00:00+00:00,378
2017-05-28 00:00:00+00:00,379
2017-05-30 00:00:00+00:00,380
2017-05-31 00:00:00+00:00,381
2017-06-13 00:00:00+00:00,382
2017-06-16 00:00:00+00:00,383
2017-06-23 00:00:00+00:00,384
2017-06-28 00:00:00+00:00,385
2017-07-13 00:00:00+00:00,386
2017-07-17 00:00:00+00:00,387
2017-07-30 00:00:00+00:00,388
2017-08-01 00:00:00+00:00,389
2017-08-05 00:00:00+00:00,390
2017-08-15 00:00:00+00:00,391
2017-08-17 00:00:00+00:00,392
2017-08-18 00:00:00+00:00,393
2017-08-24 00:00:00+00:00,394
2017-08-29 00:00:00+00:00,395
2017-09-03 00:00:00+00:00,396
2017-09-04 00:00:00+00:00,397
2017-09-13 00:00:00+00:00,398
2017-09-15 00:00:00+00:00,399
2017-09-23 00:00:00+00:00,400
2017-09-28 00:00:00+00:00,401
2017-10-07 00:00:00+00:00,402
2017-10-26 00:00:00+00:00,403
2017-11-03 00:00:00+00:00,405
2017-11-04 00:00:00+00:00,406
2017-11-08 00:00:00+00:00,407
2017-11-28 00:00:00+00:00,408
2017-12-01 00:00:00+00:00,409
2017-12-19 00:00:00+00:00,410
2017-12-22 00:00:00+00:00,412
2017-12-26 00:00:00+00:00,413
2018-01-04 00:00:00+00:00,414
2018-01-20 00:00:00+00:00,415
2018-01-23 00:00:00+00:00,416
2018-01-26 00:00:00+00:00,417
2018-02-02 00:00:00+00:00,418
2018-02-05 00:00:00+00:00,419
2018-02-17 00:00:00+00:00,420
2018-02-19 00:00:00+00:00,422
2018-03-24 00:00:00+00:00,423
2018-03-29 00:00:00+00:00,424
2018-04-02 00:00:00+00:00,425
2018-04-05 00:00:00+00:00,426
2018-04-09 00:00:00+00:00,427
2018-04-10 00:00:00+00:00,428
2018-04-11 00:00:00+00:00,430
2018-04-18 00:00:00+00:00,431
2018-04-23 00:00:00+00:00,432
2018-05-17 00:00:00+00:00,433
2018-05-22 00:00:00+00:00,434
2018-05-24 00:00:00+00:00,435
2018-05-28 00:00:00+00:00,437
2018-06-04 00:00:00+00:00,439
2018-06-06 00:00:00+00:00,440
2018-06-07 00:00:00+00:00,441
2018-06-08 00:00:00+00:00,442
2018-06-12 00:00:00+00:00,443
2018-07-06 00:00:00+00:00,444
2018-07-08 00:00:00+00:00,445
2018-07-16 00:00:00+00:00,446
2018-07-23 00:00:00+00:00,447
2018-07-25 00:00:00+00:00,448
2018-08-06 00:00:00+00:00,449
2018-08-08 00:00:00+00:00,450
2018-08-09 00:00:00+00:00,451
2018-08-10 00:00:00+00:00,452
