time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-08 00:00:00+00:00,5,1,145,76
2022-03-09 00:00:00+00:00,6,6,180,93
2022-03-10 00:00:00+00:00,1,1,186,86
2022-03-11 00:00:00+00:00,6,6,194,72
2022-03-12 00:00:00+00:00,6,4,95,50
2022-03-13 00:00:00+00:00,11,1,81,33
2022-03-14 00:00:00+00:00,23,7,205,111
2022-03-15 00:00:00+00:00,5,4,280,103
2022-03-16 00:00:00+00:00,7,6,239,101
2022-03-17 00:00:00+00:00,3,3,204,88
2022-03-18 00:00:00+00:00,2,2,190,85
2022-03-19 00:00:00+00:00,3,3,55,30
2022-03-20 00:00:00+00:00,5,5,73,40
2022-03-21 00:00:00+00:00,2,2,185,105
2022-03-22 00:00:00+00:00,2,2,203,88
2022-03-23 00:00:00+00:00,4,3,224,97
2022-03-24 00:00:00+00:00,5,5,163,100
2022-03-25 00:00:00+00:00,3,3,218,83
2022-03-26 00:00:00+00:00,1,1,84,52
2022-03-27 00:00:00+00:00,2,2,54,37
2022-03-28 00:00:00+00:00,2,2,143,91
2022-03-29 00:00:00+00:00,275,2,144,75
2022-03-30 00:00:00+00:00,86,3,234,99
2022-03-31 00:00:00+00:00,3,3,180,99
2022-04-01 00:00:00+00:00,2,2,201,98
2022-04-02 00:00:00+00:00,3,3,85,43
2022-04-03 00:00:00+00:00,7,5,47,24
2022-04-04 00:00:00+00:00,6,4,179,85
2022-04-05 00:00:00+00:00,1,1,199,76
2022-04-06 00:00:00+00:00,3,3,160,82
2022-04-07 00:00:00+00:00,6,6,262,103
2022-04-08 00:00:00+00:00,4,4,148,64
2022-04-09 00:00:00+00:00,16,6,88,39
2022-04-10 00:00:00+00:00,0,0,78,35
2022-04-11 00:00:00+00:00,2,1,224,95
2022-04-12 00:00:00+00:00,2,2,219,108
2022-04-13 00:00:00+00:00,4,2,177,93
2022-04-14 00:00:00+00:00,1,1,140,77
2022-04-15 00:00:00+00:00,1,1,172,65
2022-04-16 00:00:00+00:00,3,3,69,38
2022-04-17 00:00:00+00:00,4,2,102,34
2022-04-18 00:00:00+00:00,1,1,113,65
2022-04-19 00:00:00+00:00,3,3,168,79
2022-04-20 00:00:00+00:00,3,3,417,259
2022-04-21 00:00:00+00:00,1,1,367,260
2022-04-22 00:00:00+00:00,1,1,252,108
2022-04-23 00:00:00+00:00,4,4,98,44
2022-04-24 00:00:00+00:00,11,5,142,44
2022-04-25 00:00:00+00:00,1,1,234,108
2022-04-26 00:00:00+00:00,4,4,257,109
2022-04-27 00:00:00+00:00,4,4,202,107
2022-04-28 00:00:00+00:00,7,3,199,95
2022-04-29 00:00:00+00:00,3,3,181,102
2022-04-30 00:00:00+00:00,3,2,96,45
2022-05-01 00:00:00+00:00,1,1,103,47
2022-05-02 00:00:00+00:00,1,1,145,81
2022-05-03 00:00:00+00:00,1,1,155,83
2022-05-04 00:00:00+00:00,8,5,185,85
2022-05-05 00:00:00+00:00,4,3,185,89
2022-05-06 00:00:00+00:00,3,3,245,100
2022-05-07 00:00:00+00:00,0,0,198,54
2022-05-08 00:00:00+00:00,0,0,70,38
2022-05-09 00:00:00+00:00,1,1,148,82
2022-05-10 00:00:00+00:00,5,5,252,116
2022-05-11 00:00:00+00:00,1,1,305,110
2022-05-12 00:00:00+00:00,2,2,178,113
2022-05-13 00:00:00+00:00,6,5,229,97
2022-05-14 00:00:00+00:00,5,5,136,50
2022-05-15 00:00:00+00:00,0,0,96,43
2022-05-16 00:00:00+00:00,4,4,257,112
2022-05-17 00:00:00+00:00,3,3,362,132
2022-05-18 00:00:00+00:00,1,1,383,120
2022-05-19 00:00:00+00:00,3,2,201,113
2022-05-20 00:00:00+00:00,2,2,153,89
2022-05-21 00:00:00+00:00,2,2,110,48
2022-05-22 00:00:00+00:00,6,6,124,59
2022-05-23 00:00:00+00:00,3,3,345,128
2022-05-24 00:00:00+00:00,2,1,237,115
2022-05-25 00:00:00+00:00,1,1,289,112
2022-05-26 00:00:00+00:00,9,5,151,63
2022-05-27 00:00:00+00:00,12,7,191,86
2022-05-28 00:00:00+00:00,5,4,57,29
2022-05-29 00:00:00+00:00,2,2,62,32
2022-05-30 00:00:00+00:00,5,5,176,85
