url_path,views_total,views_unique
/gitblit/gitblit,347,217
/gitblit/gitblit/issues/1384,317,275
/gitblit/gitblit/tree/master/src/main/java/com/gitblit,136,36
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/auth,88,19
/gitblit/gitblit/tree/master/src/main/java,82,43
/gitblit/gitblit/releases,81,56
/gitblit/gitblit/issues,73,36
/gitblit/gitblit/tree/master/src,70,46
/gitblit/gitblit/tree/master/src/main,64,41
/gitblit/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,43,12
