referrer,views_total,views_unique
Google,435,229
github.com,229,64
gitblit.github.io,181,59
DuckDuckGo,89,86
Bing,58,42
cn.bing.com,41,26
link.csdn.net,24,8
yandex.ru,18,16
Baidu,18,16
search.brave.com,15,6
