referrer,views_total,views_unique
Google,381,217
gitblit.github.io,241,64
github.com,184,30
DuckDuckGo,78,66
Bing,52,39
Baidu,20,10
yandex.ru,16,15
cn.bing.com,16,12
gitblit.com,15,3
link.csdn.net,9,3
