time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-11 00:00:00+00:00,5,5,178,65
2022-03-12 00:00:00+00:00,6,4,95,50
2022-03-13 00:00:00+00:00,11,1,81,33
2022-03-14 00:00:00+00:00,23,7,205,111
2022-03-15 00:00:00+00:00,5,4,280,103
2022-03-16 00:00:00+00:00,7,6,239,101
2022-03-17 00:00:00+00:00,3,3,204,88
2022-03-18 00:00:00+00:00,2,2,190,85
2022-03-19 00:00:00+00:00,3,3,55,30
2022-03-20 00:00:00+00:00,5,5,73,40
2022-03-21 00:00:00+00:00,2,2,185,105
2022-03-22 00:00:00+00:00,2,2,203,88
2022-03-23 00:00:00+00:00,4,3,224,97
2022-03-24 00:00:00+00:00,5,5,163,100
