referrer,views_total,views_unique
v2ex.com,423,329
Google,389,246
gitblit.github.io,358,91
github.com,259,67
DuckDuckGo,220,192
Bing,77,61
cn.bing.com,58,33
Baidu,23,18
gitblit.com,17,5
yandex.ru,16,14
