referrer,views_total,views_unique
v2ex.com,423,329
Google,390,211
github.com,324,77
gitblit.github.io,296,97
DuckDuckGo,176,149
Bing,82,59
cn.bing.com,40,30
gitblit.com,18,4
Baidu,17,17
yandex.ru,14,13
