referrer,views_total,views_unique
Google,815,227
gitblit.github.io,368,71
github.com,216,52
DuckDuckGo,106,96
Bing,72,63
quora.com,44,2
cn.bing.com,43,24
gitblit.com,38,7
Baidu,27,14
yandex.ru,20,18
