referrer,views_total,views_unique
Google,440,238
github.com,203,64
gitblit.github.io,177,63
DuckDuckGo,98,93
Bing,65,48
cn.bing.com,40,26
link.csdn.net,23,7
yandex.ru,21,19
Baidu,18,16
search.brave.com,14,5
