referrer,views_total,views_unique
Google,402,219
github.com,221,54
gitblit.github.io,134,48
DuckDuckGo,72,70
Bing,62,42
cn.bing.com,32,17
link.csdn.net,21,7
Baidu,17,15
yandex.ru,17,13
search.brave.com,13,4
