url_path,views_total,views_unique
/gitblit/gitblit,374,228
/gitblit/gitblit/tree/master/src/main/java/com/gitblit,316,53
/gitblit/gitblit/issues/1384,273,236
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/auth,268,35
/gitblit/gitblit/tree/master/src/main/java,182,62
/gitblit/gitblit/tree/master/src/main,111,46
/gitblit/gitblit/tree/master/src,106,44
/gitblit/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,103,26
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/models,95,19
/gitblit/gitblit/releases,75,55
