time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-05 00:00:00+00:00,4.0,3.0,71,25
2021-12-06 00:00:00+00:00,14.0,7.0,134,59
2021-12-07 00:00:00+00:00,6.0,5.0,135,53
2021-12-08 00:00:00+00:00,4.0,4.0,148,51
2021-12-09 00:00:00+00:00,3.0,3.0,218,54
2021-12-10 00:00:00+00:00,1.0,1.0,172,55
2021-12-11 00:00:00+00:00,2.0,2.0,27,13
2021-12-12 00:00:00+00:00,1.0,1.0,94,26
2021-12-13 00:00:00+00:00,7.0,6.0,448,95
2021-12-14 00:00:00+00:00,5.0,5.0,567,95
2021-12-15 00:00:00+00:00,7.0,6.0,362,83
2021-12-16 00:00:00+00:00,5.0,4.0,172,70
2021-12-17 00:00:00+00:00,7.0,6.0,282,70
2021-12-18 00:00:00+00:00,3.0,3.0,71,24
2021-12-19 00:00:00+00:00,,,1,1
