url_path,views_total,views_unique
/gitblit/gitblit,406,241
/gitblit/gitblit/tree/master/src/main/java/com/gitblit,347,48
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/auth,270,34
/gitblit/gitblit/issues/1384,256,232
/gitblit/gitblit/tree/master/src/main/java,192,61
/gitblit/gitblit/tree/master/src/main,116,42
/gitblit/gitblit/tree/master/src,111,43
/gitblit/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,106,26
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/models,92,17
/gitblit/gitblit/issues,85,36
