referrer,views_total,views_unique
Google,874,196
gitblit.github.io,247,75
github.com,179,48
DuckDuckGo,131,117
Bing,94,77
cn.bing.com,59,40
yandex.ru,29,21
useof.org,15,2
Baidu,11,10
stackoverflow.com,8,5
