url_path,views_total,views_unique
/gitblit/gitblit,413,237
/gitblit/gitblit/tree/master/src/main/java/com/gitblit,248,38
/gitblit/gitblit/issues/1384,238,218
/gitblit/gitblit/tree/master/src/main/java/com/gitblit/auth,196,23
/gitblit/gitblit/tree/master/src/main/java,150,52
/gitblit/gitblit/tree/master/src,108,41
/gitblit/gitblit/tree/master/src/main,102,35
/gitblit/gitblit/releases,86,55
/gitblit/gitblit/issues,81,34
/gitblit/gitblit/blob/master/src/main/java/com/gitblit/auth/AuthenticationProvider.java,71,17
