referrer,views_total,views_unique
Google,1059,197
gitblit.github.io,259,77
github.com,142,39
DuckDuckGo,124,108
Bing,92,74
cn.bing.com,58,41
yandex.ru,25,18
Baidu,12,11
stackoverflow.com,8,5
link.csdn.net,7,5
