referrer,views_total,views_unique
v2ex.com,423,329
Google,419,263
gitblit.github.io,382,104
github.com,275,75
DuckDuckGo,232,206
Bing,92,69
cn.bing.com,63,36
Baidu,25,20
yandex.ru,17,15
gitblit.com,17,5
