referrer,views_total,views_unique
Google,485,243
github.com,264,67
gitblit.github.io,233,83
DuckDuckGo,113,94
Bing,24,23
Baidu,23,17
cn.bing.com,19,14
ecosia.org,14,4
yandex.ru,13,13
stackoverflow.com,10,10
