referrer,views_total,views_unique
Google,490,279
github.com,269,78
gitblit.github.io,257,71
DuckDuckGo,185,158
Bing,91,67
Baidu,24,16
cn.bing.com,20,14
yandex.ru,19,14
gitblit.com,15,8
ecosia.org,12,12
