url_path,views_total,views_unique
/gitblit-org/gitblit-docker,20,11
/gitblit-org/gitblit-docker/blob/master/Dockerfile,18,8
/gitblit-org/gitblit-docker/tree/master/generate,6,3
/gitblit-org/gitblit-docker/issues/4,4,4
/gitblit-org/gitblit-docker/blob/master/hub-readme.md,4,2
/gitblit-org/gitblit-docker/tree/master/migrate,4,2
/gitblit-org/gitblit-docker/network/members,2,2
/gitblit-org/gitblit-docker/blob/master/Dockerfile.alpine,2,1
/gitblit-org/gitblit-docker/actions,1,1
/gitblit-org/gitblit-docker/tree/0d939b21b2e7b8b80f9771b19332a7a692be47d3,1,1
