url_path,views_total,views_unique
/gitblit-org/gitblit-docker,27,17
/gitblit-org/gitblit-docker/blob/master/Dockerfile,14,5
/gitblit-org/gitblit-docker/blob/master/goss.yaml,6,2
/gitblit-org/gitblit-docker/tree/master/generate,5,2
/gitblit-org/gitblit-docker/tags,2,2
/gitblit-org/gitblit-docker/blob/master/docker-entrypoint.sh,2,1
/gitblit-org/gitblit-docker/blob/master/generate/Dockerfile.template,2,1
/gitblit-org/gitblit-docker/blob/master/goss_wait.yaml,2,1
/gitblit-org/gitblit-docker/blob/master/hub-readme.md,2,1
/gitblit-org/gitblit-docker/actions,1,1
